DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,702.0,724.8,698.05,714.75,220587,62.0
2025-04-15,726.0,762.1,721.0,749.05,338835,67.54
2025-04-16,749.05,758.0,738.15,748.05,97557,59.59
2025-04-17,754.85,785.25,740.0,774.2,217610,57.64
2025-04-21,780.0,798.0,765.0,769.15,146398,49.28
2025-04-22,773.95,780.9,745.4,748.7,78220,51.98
2025-04-23,759.45,759.6,726.5,745.2,128191,51.95
2025-04-24,760.9,806.45,738.1,758.6,577046,30.28
2025-04-25,758.6,760.0,723.1,739.85,187013,45.98
2025-04-28,740.0,742.9,726.4,735.8,88538,46.17
2025-04-29,735.8,750.7,730.2,733.65,57067,56.72
2025-04-30,731.95,751.9,710.6,718.8,99709,45.97
2025-05-02,717.0,728.0,707.0,711.1,61384,54.26
2025-05-05,706.25,760.9,706.25,758.55,215096,52.69
2025-05-06,775.0,790.1,756.05,763.65,460877,43.71
2025-05-07,758.1,780.0,754.5,762.0,74913,43.38
2025-05-08,766.0,783.7,740.6,745.5,72507,48.52
2025-05-09,729.9,741.95,711.0,738.0,195728,28.73
2025-05-12,767.0,789.8,766.2,778.8,121391,55.21
2025-05-13,840.0,840.0,779.1,790.95,583810,39.27
2025-05-14,795.0,802.05,755.3,764.75,256224,43.17
2025-05-15,762.9,775.6,750.25,756.0,184429,35.96
2025-05-16,756.0,758.75,744.55,753.25,103137,45.51
2025-05-19,755.0,786.0,753.9,780.05,288688,70.7
2025-05-20,783.0,787.55,730.0,743.8,152103,49.67
2025-05-21,754.0,768.4,745.0,763.6,75246,45.1
2025-05-22,760.0,770.8,752.7,764.45,162972,81.24
2025-05-23,767.0,776.7,753.05,763.6,102544,52.23
2025-05-26,770.4,779.85,763.75,766.85,59264,50.0
2025-05-27,756.0,764.15,752.05,757.15,53814,58.49
2025-05-28,760.0,760.0,744.0,756.35,68014,63.2
2025-05-29,764.7,776.0,757.0,763.6,51116,47.03
2025-05-30,772.0,783.4,765.1,775.65,104806,50.41
2025-06-02,775.65,777.55,762.9,764.35,51748,48.7
2025-06-03,765.0,774.7,731.25,734.55,124062,66.32
2025-06-04,735.0,747.05,731.55,735.75,66877,56.92
2025-06-05,741.0,744.9,727.45,741.05,121845,53.22
2025-06-06,742.0,752.95,740.0,746.45,67124,68.92
2025-06-09,746.45,762.75,746.45,750.15,129569,54.53
2025-06-10,750.15,757.9,735.05,741.85,48706,55.59
2025-06-11,744.95,752.8,731.25,733.6,34581,44.38
2025-06-12,739.0,740.65,720.0,724.0,48238,49.97
2025-06-13,722.0,724.5,705.8,710.75,70739,55.13
2025-06-16,711.95,725.2,695.8,712.3,71835,55.29
2025-06-17,713.75,720.0,704.3,706.95,127281,83.77
2025-06-18,705.1,716.05,697.0,701.6,43061,55.9
2025-06-19,699.0,707.8,698.0,701.0,60789,64.37
2025-06-20,699.0,712.7,682.35,700.2,98408,39.27
2025-06-23,690.0,704.5,686.35,697.9,51708,55.91
2025-06-24,703.95,707.55,700.0,700.55,75070,79.29
2025-06-25,707.9,708.0,693.0,696.95,59724,68.52
2025-06-26,702.0,705.9,692.3,699.5,59122,59.49
2025-06-27,702.95,703.15,670.0,688.65,143686,69.62
2025-06-30,681.1,693.35,680.15,682.95,92859,64.85
2025-07-01,694.0,707.0,663.25,675.65,761518,53.55
2025-07-02,686.0,694.7,676.95,686.3,150054,51.61
2025-07-03,686.0,720.7,673.15,686.6,1222503,49.74
2025-07-04,717.9,755.25,705.15,750.65,1489877,42.26
2025-07-07,750.65,767.15,730.0,744.0,269042,38.36
2025-07-08,743.75,796.0,740.3,785.15,1048490,50.54
2025-07-09,788.0,799.0,758.1,764.9,249207,42.04
2025-07-10,763.65,777.85,761.6,772.7,146559,49.56
