DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,2.92,2.92,2.78,2.8,2849906,56.63
2025-04-15,2.85,2.85,2.78,2.78,5580278,73.96
2025-04-16,2.8,2.88,2.77,2.86,5288752,44.35
2025-04-17,2.86,2.86,2.37,2.59,56623064,49.1
2025-04-21,2.65,2.65,2.56,2.62,9051997,44.49
2025-04-22,2.65,2.7,2.6,2.67,5670575,62.15
2025-04-23,2.7,2.72,2.61,2.65,5282297,49.41
2025-04-24,2.65,2.7,2.63,2.65,4729155,45.28
2025-04-25,2.66,2.67,2.53,2.55,8142749,50.77
2025-04-28,2.56,2.6,2.51,2.56,4109024,48.37
2025-04-29,2.6,2.63,2.57,2.58,4364618,48.53
2025-04-30,2.61,2.61,2.54,2.55,2464003,54.11
2025-05-02,2.56,2.59,2.5,2.51,3721245,47.89
2025-05-05,2.53,2.55,2.46,2.52,2942656,47.15
2025-05-06,2.52,2.54,2.4,2.43,6335882,45.88
2025-05-07,2.35,2.42,2.32,2.38,7010648,50.64
2025-05-08,2.41,2.48,2.36,2.38,4499277,34.75
2025-05-09,2.31,2.36,2.28,2.29,7530408,53.52
2025-05-12,2.36,2.49,2.36,2.45,7373919,47.88
2025-05-13,2.49,2.52,2.44,2.47,5364478,53.58
2025-05-14,2.5,2.6,2.48,2.57,6076701,56.78
2025-05-15,2.57,2.68,2.57,2.65,6186358,55.56
2025-05-16,2.67,2.8,2.65,2.76,8312004,50.17
2025-05-19,2.85,2.85,2.75,2.77,8114114,46.06
2025-05-20,2.8,2.82,2.7,2.72,7192115,44.74
2025-05-21,2.72,2.75,2.67,2.71,5096016,46.85
2025-05-22,2.7,2.72,2.67,2.68,2760070,53.48
2025-05-23,2.68,2.74,2.65,2.71,3525936,50.66
2025-05-26,2.76,2.76,2.72,2.73,3217963,57.55
2025-05-27,2.75,2.76,2.7,2.72,3383972,53.19
2025-05-28,2.74,3.16,2.7,3.05,24644672,56.43
2025-05-29,2.98,3.04,2.93,2.98,6651570,51.42
2025-05-30,3.04,3.04,2.82,2.85,11265486,58.31
2025-06-02,2.85,2.94,2.69,2.78,14977076,67.91
2025-06-03,2.79,2.82,2.55,2.6,27382712,71.98
2025-06-04,2.61,2.64,2.44,2.49,22080229,64.15
2025-06-05,2.53,2.59,2.51,2.55,7716566,51.49
2025-06-06,2.56,2.6,2.53,2.54,7486292,51.71
2025-06-09,2.56,2.62,2.55,2.58,7760746,54.49
2025-06-10,2.6,2.64,2.59,2.62,6850383,47.98
2025-06-11,2.63,2.84,2.61,2.66,25162931,42.41
2025-06-12,2.68,2.73,2.64,2.65,8283451,48.9
2025-06-13,2.64,2.69,2.58,2.61,7906395,43.03
2025-06-16,2.65,2.65,2.54,2.61,6242531,42.97
2025-06-17,2.61,2.66,2.59,2.6,3973529,50.03
2025-06-18,2.57,2.62,2.56,2.57,4853592,56.73
2025-06-19,2.57,2.6,2.49,2.5,9445706,59.07
2025-06-20,2.5,2.55,2.49,2.53,4052056,44.92
2025-06-23,2.53,2.55,2.48,2.52,4816906,51.91
2025-06-24,2.52,2.59,2.52,2.55,3873305,52.75
2025-06-25,2.57,2.62,2.55,2.56,8135453,61.33
2025-06-26,2.58,2.6,2.56,2.58,2931983,59.67
2025-06-27,2.6,2.63,2.58,2.59,5340373,53.35
2025-06-30,2.61,2.62,2.58,2.6,4601170,61.43
2025-07-01,2.61,2.64,2.53,2.58,5741762,46.04
2025-07-02,2.59,2.62,2.58,2.58,4863458,42.09
2025-07-03,2.61,2.61,2.57,2.58,2936702,52.99
2025-07-04,2.6,2.62,2.57,2.59,4564403,52.52
2025-07-07,2.58,2.61,2.55,2.57,3887454,55.17
2025-07-08,2.57,2.6,2.53,2.56,4209935,50.24
2025-07-09,2.56,2.59,2.55,2.56,2806791,43.67
2025-07-10,2.56,2.58,2.53,2.55,4010942,61.41
2025-07-11,2.56,2.57,2.47,2.51,5472045,51.22
2025-07-14,2.52,2.58,2.49,2.53,5175385,44.04
2025-07-15,2.55,2.61,2.54,2.56,6330596,53.9
2025-07-16,2.58,2.59,2.56,2.57,2699677,65.59
2025-07-17,2.57,2.6,2.55,2.57,2384348,48.29
2025-07-18,2.59,2.59,2.53,2.55,3653322,45.75
2025-07-21,2.53,2.55,2.51,2.52,3775802,57.79
2025-07-22,2.52,2.54,2.48,2.49,4973205,67.76
2025-07-23,2.49,2.52,2.46,2.5,4859427,50.24
2025-07-24,2.48,2.51,2.46,2.47,4280088,51.27
2025-07-25,2.46,2.48,2.42,2.43,4448085,50.44
2025-07-28,2.42,2.45,2.39,2.4,3110209,55.45
2025-07-29,2.4,2.44,2.39,2.42,3154078,48.55
2025-07-30,2.42,2.45,2.42,2.42,1382032,63.4
2025-07-31,2.42,2.43,2.39,2.4,1754282,52.51
2025-08-01,2.4,2.42,2.37,2.38,3022257,62.61
2025-08-04,2.4,2.42,2.37,2.38,2276642,57.56
2025-08-05,2.41,2.41,2.35,2.36,3454405,51.2
2025-08-06,2.38,2.38,2.27,2.28,8501483,63.3
2025-08-07,2.28,2.28,2.2,2.25,5852446,64.58
2025-08-08,2.25,2.28,2.22,2.22,5554264,46.71
2025-08-11,2.22,2.26,2.2,2.23,4389453,64.27
2025-08-12,2.24,2.29,2.24,2.27,3752644,47.77
2025-08-13,2.26,2.29,2.25,2.26,2499142,65.11
2025-08-14,2.25,2.28,2.23,2.24,2930401,58.51
2025-08-18,2.18,2.24,2.16,2.17,8202619,59.77
2025-08-19,2.16,2.19,2.15,2.17,3389151,62.52
2025-08-20,2.18,2.37,2.17,2.29,7622718,42.5
2025-08-21,2.32,2.36,2.32,2.33,3071265,67.26
2025-08-22,2.35,2.35,2.28,2.3,3392275,56.02
2025-08-25,2.32,2.34,2.27,2.29,2373317,65.11
2025-08-26,2.32,2.32,2.24,2.26,2615123,50.52
2025-08-28,2.26,2.27,2.21,2.22,3198023,63.85
2025-08-29,2.23,2.25,2.2,2.22,2274650,50.33
2025-09-01,2.24,2.24,2.21,2.22,3214754,63.16
2025-09-02,2.22,2.26,2.22,2.25,3216937,59.93
2025-09-03,2.25,2.29,2.25,2.26,1933671,54.63
2025-09-04,2.3,2.32,2.26,2.27,2849532,52.74
2025-09-05,2.28,2.28,2.24,2.25,2257264,75.02
2025-09-08,2.25,2.29,2.25,2.26,3577966,46.65
2025-09-09,2.27,2.27,2.22,2.22,4245940,62.78
2025-09-10,2.22,2.27,2.21,2.22,3746127,59.24
2025-09-11,2.23,2.28,2.22,2.25,3383149,53.19
2025-09-12,2.26,2.27,2.22,2.23,3020521,68.5
2025-09-15,2.23,2.27,2.23,2.24,3669581,52.49
2025-09-16,2.27,2.27,2.25,2.26,2484674,65.84
2025-09-17,2.25,2.27,2.24,2.24,3787915,62.45
2025-09-18,2.26,2.34,2.25,2.31,5381565,60.48
2025-09-19,2.34,2.37,2.32,2.34,4062771,51.19
2025-09-22,2.36,2.37,2.27,2.27,3766810,65.35
2025-09-23,2.27,2.29,2.23,2.24,4469836,54.62
2025-09-24,2.24,2.27,2.22,2.24,3675952,48.39
2025-09-25,2.26,2.26,2.2,2.21,6451194,56.61
2025-09-26,2.2,2.23,2.2,2.21,2777628,69.47
2025-09-29,2.21,2.23,2.2,2.2,1885701,52.97
2025-09-30,2.2,2.22,2.17,2.18,3135910,57.07
2025-10-01,2.18,2.21,2.18,2.2,3023287,49.63
2025-10-03,2.2,2.22,2.19,2.2,2761379,56.01
2025-10-06,2.22,2.23,2.17,2.18,3221761,67.07
2025-10-07,2.2,2.2,2.16,2.18,3369554,50.85
2025-10-08,2.18,2.19,2.16,2.17,2839876,63.25
2025-10-09,2.18,2.19,2.15,2.15,3152327,63.05
2025-10-10,2.16,2.19,2.15,2.16,3595408,44.4
2025-10-13,2.15,2.16,2.14,2.14,3286886,54.76
2025-10-14,2.15,2.16,2.07,2.1,5149215,58.27
2025-10-15,2.11,2.12,2.1,2.11,2552252,68.97
2025-10-16,2.12,2.14,2.11,2.11,3688373,58.09
2025-10-17,2.11,2.12,2.1,2.11,2475352,60.96
