DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-09-30,37.21,41.07,37.21,41.07,49268,85.14
2025-10-01,43.12,43.12,43.12,43.12,39400,100.0
2025-10-03,45.27,45.27,45.27,45.27,42113,100.0
2025-10-06,47.53,47.53,47.53,47.53,60328,93.33
2025-10-07,49.9,49.9,49.9,49.9,27782,100.0
2025-10-08,52.39,52.39,52.39,52.39,26659,100.0
2025-10-09,55.0,55.0,55.0,55.0,18766,100.0
2025-10-10,57.75,57.75,57.75,57.75,14305,100.0
2025-10-13,60.63,60.63,60.63,60.63,99526,74.88
2026-01-19,44.02,45.49,43.01,44.03,7599,80.69
2026-01-20,44.25,44.25,42.05,43.53,4258,68.29
2026-01-21,43.0,43.21,41.36,41.5,16014,58.65
2026-01-22,39.71,43.44,39.71,42.31,6861,27.24
2026-01-23,40.35,43.29,40.35,41.15,7262,74.3
2026-01-26,40.35,43.29,40.35,41.15,7262,74.3
2026-01-27,39.11,42.4,39.1,39.63,6224,68.96
2026-01-28,41.0,41.0,38.0,38.28,13347,68.02
2026-01-29,39.05,39.9,36.37,36.4,22881,79.4
2026-01-30,36.95,38.22,36.95,38.21,22413,89.65
2026-02-02,39.7,40.52,38.13,38.9,9047,83.82
2026-02-03,39.68,40.84,37.24,38.26,10789,73.02
2026-02-04,38.07,40.17,37.3,39.93,16650,61.4
2026-02-05,40.0,40.0,37.94,37.94,53523,81.2
2026-02-06,38.74,38.8,36.1,37.1,46256,65.31
2026-02-09,36.36,38.13,35.56,37.64,32104,88.38
2026-02-10,38.39,38.5,36.7,37.85,21969,84.99
2026-02-11,37.89,37.9,36.17,37.62,16571,58.08
2026-02-12,37.59,38.29,36.15,37.46,8246,68.72
2026-02-13,38.39,38.39,36.0,36.27,15864,81.81
2026-02-16,34.5,36.98,34.5,34.92,12721,41.2
2026-02-17,34.22,36.55,34.06,36.39,9144,70.51
2026-02-18,37.9,38.2,36.56,38.17,34016,64.45
2026-02-19,39.68,40.07,39.2,40.07,18763,89.53
2026-02-20,42.07,42.07,39.0,39.5,37897,64.46
2026-02-23,39.49,39.49,37.53,37.84,29186,65.89
2026-02-24,39.73,39.73,37.0,38.52,22787,51.81
2026-02-25,38.52,38.9,37.53,38.3,6595,67.41
2026-02-26,38.2,39.8,37.56,39.24,6614,87.57
2026-02-27,38.69,40.0,37.3,38.29,5828,64.6
2026-03-02,38.48,38.48,36.46,37.37,2893,72.93
2026-03-03,38.48,38.48,36.46,37.37,2893,72.93
2026-03-04,37.36,37.36,35.51,35.99,10797,64.87
2026-03-05,35.82,36.95,35.0,35.39,10368,91.11
2026-03-06,35.39,36.79,35.39,36.2,4864,77.75
2026-03-09,36.88,36.88,34.39,34.61,18322,91.27
2026-03-10,34.61,36.33,34.61,35.65,7101,70.84
2026-03-11,35.86,36.79,35.01,35.15,31130,97.59
2026-03-12,35.5,35.5,34.06,34.75,41780,87.0
2026-03-13,34.75,34.8,33.8,34.19,8815,36.29
2026-03-16,34.87,35.69,32.84,34.0,5226,75.76
2026-03-17,33.1,34.85,32.6,32.69,16167,85.03
2026-03-18,31.69,34.32,31.69,32.38,54878,62.55
2026-03-19,33.19,33.19,30.77,30.83,23826,76.19
2026-03-20,31.98,32.2,29.4,30.06,49448,54.97
2026-03-23,31.3,31.3,28.56,28.56,10122,76.5
2026-03-24,29.95,29.95,27.4,27.8,27692,60.86
2026-03-25,27.8,29.19,27.8,29.16,33275,71.02
2026-03-26,27.8,29.19,27.8,29.16,33275,71.02
2026-03-27,30.5,30.5,27.96,29.86,33019,90.89
2026-03-30,29.26,30.31,28.37,28.37,11838,98.0
2026-03-31,29.26,30.31,28.37,28.37,11838,98.0
2026-04-01,27.05,29.78,27.05,29.61,26583,43.17
2026-04-02,29.63,30.01,28.25,29.99,9934,71.23
2026-04-03,29.63,30.01,28.25,29.99,9934,71.23
2026-04-06,30.87,31.48,30.16,31.45,7860,73.85
2026-04-07,30.1,33.0,30.1,31.79,31895,88.26
2026-04-08,33.36,33.37,31.8,33.21,54902,84.99
2026-04-09,34.87,34.87,31.6,32.02,32117,78.19
2026-04-10,31.86,33.62,31.86,32.43,25391,81.47
2026-04-13,33.89,33.89,30.85,31.72,13358,67.87
2026-04-14,33.89,33.89,30.85,31.72,13358,67.87
2026-04-15,32.05,33.3,32.0,32.16,69093,66.59
2026-04-16,32.22,33.76,32.1,33.64,206370,81.02
2026-04-17,34.98,35.32,34.31,35.32,12972,87.44
2026-04-20,37.08,37.08,34.16,35.34,82825,62.53
2026-04-21,34.63,37.1,33.62,37.1,36286,74.26
2026-04-22,38.68,38.95,37.21,38.95,44947,85.04
2026-04-23,40.6,40.89,39.0,40.89,72441,85.58
2026-04-24,42.79,42.89,40.2,41.29,66472,71.58
2026-04-27,41.29,42.79,41.0,41.81,35589,79.23
2026-04-28,43.73,43.73,39.72,40.18,31667,70.46
2026-04-29,40.88,41.83,38.57,40.98,15082,57.21
2026-04-30,40.0,41.0,38.95,40.5,32377,69.02
2026-05-01,40.0,41.0,38.95,40.5,32377,69.02
2026-05-04,40.5,42.52,40.5,42.52,41813,95.03
2026-05-05,43.78,44.64,42.01,43.68,82188,68.55
2026-05-06,44.13,45.86,43.15,45.86,72344,82.35
2026-05-07,48.15,48.15,47.0,48.15,25002,61.48
2026-05-08,50.5,50.55,50.5,50.55,15105,95.91
2026-05-11,53.07,53.07,53.07,53.07,28572,100.0
2026-05-12,55.72,55.72,51.0,55.6,203354,61.31
2026-05-13,56.69,56.69,52.82,52.82,86474,77.51
