DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-06-30,33.9,35.66,32.45,35.26,235299018,40.69
2026-07-01,36.48,38.78,36.25,38.78,113217339,38.61
2026-07-02,42.0,42.65,41.62,42.65,27127939,85.01
2026-07-03,44.78,44.78,40.52,40.52,285562853,32.98
2026-07-06,40.0,40.0,38.5,38.5,111514558,37.97
2026-07-07,36.58,36.58,36.58,36.58,4549314,100.0
2026-07-08,34.76,34.76,34.76,34.76,6470037,90.65
2026-07-09,34.11,34.64,33.03,33.03,241447708,32.7
2026-07-10,33.0,34.68,32.75,34.68,92368489,28.76
2026-07-13,35.4,36.41,35.2,36.41,92593863,36.94
2026-07-14,36.9,37.27,34.75,35.07,83305485,38.03
2026-07-15,34.88,34.98,33.32,33.37,43884246,48.03
2026-07-16,33.3,35.0,33.15,34.57,38398016,41.14
2026-07-17,34.58,34.67,33.41,33.87,22435341,50.63
2026-07-20,33.8,33.92,32.51,32.92,30240347,51.96
2026-07-21,33.4,33.45,32.01,32.61,26771710,40.24
2026-07-22,32.25,32.54,31.21,31.4,31275418,51.16
2026-07-23,31.0,32.08,30.9,31.1,27204806,33.03
2026-07-24,30.95,31.25,30.2,30.35,32371875,42.82
2026-07-27,30.9,31.49,30.2,30.36,26150010,44.2
2026-07-28,30.36,30.6,29.3,29.51,19638622,52.38
2026-07-29,29.89,30.98,29.25,30.78,24766856,42.81
2026-07-30,31.48,31.63,30.1,30.75,30861160,48.05
2026-07-31,31.0,32.28,30.15,32.28,31992774,54.8
2026-08-03,32.8,33.89,31.88,33.89,46832885,39.17
2026-08-04,33.9,35.58,33.71,35.55,75372766,28.29
2026-08-05,36.1,37.03,34.7,36.53,65591869,34.29
2026-08-07,35.6,36.24,34.8,35.21,23801877,46.22
2026-08-10,35.0,36.97,34.62,36.97,19772447,71.08
2026-08-11,38.81,38.81,37.9,38.81,91473003,28.16
2026-08-12,38.8,40.7,38.55,39.08,65157004,43.01
2026-08-13,39.08,40.24,37.87,38.79,36097225,43.28
2026-08-14,38.8,39.2,36.86,36.87,26082607,51.12
2026-08-17,36.9,38.71,36.0,37.97,53342910,29.93
2026-08-18,37.9,38.48,37.02,37.41,17356679,48.85
2026-08-19,37.4,37.54,35.94,36.11,21860325,47.59
2026-08-20,36.68,37.2,36.0,36.2,24465120,52.19
2026-08-21,36.21,37.8,36.21,36.74,32809073,48.49
2026-08-24,37.14,37.69,36.85,37.07,18191272,50.82
2026-08-25,37.25,38.29,36.5,36.94,21169731,42.67
2026-08-26,36.95,38.78,36.95,38.78,62802478,41.9
2026-08-27,38.9,40.38,38.22,38.85,57698620,39.25
