DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,211.85,215.01,211.21,212.6,25186,54.66
2025-04-15,214.3,232.59,214.18,226.52,65546,48.12
2025-04-16,230.3,235.97,226.89,232.69,45822,46.58
2025-04-17,229.12,248.63,229.12,237.78,67883,30.69
2025-04-21,242.1,281.96,240.0,262.32,220768,22.31
2025-04-22,263.0,270.79,260.41,265.32,60807,40.22
2025-04-23,264.17,268.19,260.01,262.45,31283,36.58
2025-04-24,260.55,280.79,260.55,273.18,80080,37.53
2025-04-25,271.65,274.0,249.95,251.85,88118,53.73
2025-04-28,254.0,255.52,244.1,247.55,27646,45.34
2025-04-29,248.8,255.0,244.0,245.61,21405,52.98
2025-04-30,243.0,247.51,236.61,238.24,26439,55.27
2025-05-02,238.24,240.59,228.7,229.88,46422,49.11
2025-05-05,231.9,235.0,229.51,231.6,22181,56.59
2025-05-06,232.74,232.74,222.01,225.07,25907,54.35
2025-05-07,220.1,226.0,218.71,222.36,43897,51.14
2025-05-08,224.1,230.69,222.69,224.47,24194,46.69
2025-05-09,215.3,225.0,214.36,221.55,34860,48.08
2025-05-12,229.4,242.0,229.4,239.79,54659,53.37
2025-05-13,238.4,254.8,232.9,249.46,51877,43.99
2025-05-14,249.0,261.0,247.41,254.99,35628,39.42
2025-05-15,252.0,256.0,249.68,251.59,18312,51.7
2025-05-16,253.8,259.0,252.19,256.49,23000,54.91
2025-05-19,258.0,274.01,256.28,265.79,56491,55.16
2025-05-20,262.99,266.7,257.01,261.88,35038,53.09
2025-05-21,261.85,264.98,257.82,263.72,17941,50.46
2025-05-22,261.3,265.12,261.01,262.43,14631,50.44
2025-05-23,262.54,268.52,261.22,264.8,22765,50.03
2025-05-26,263.48,268.0,260.0,261.99,21244,56.02
2025-05-27,261.0,263.3,247.9,254.17,30552,61.94
2025-05-28,244.0,249.99,240.77,245.6,62344,46.38
2025-05-29,244.01,248.01,238.7,240.69,50019,57.41
2025-05-30,240.67,243.01,237.07,238.55,23082,61.53
2025-06-02,239.75,244.78,234.91,241.65,18607,38.25
2025-06-03,242.25,245.67,239.7,240.89,14742,47.42
2025-06-04,241.25,244.77,236.25,240.12,15422,47.84
2025-06-05,240.0,247.65,240.0,243.65,19361,39.3
2025-06-06,244.84,252.7,244.11,248.03,35974,48.65
2025-06-09,253.0,259.84,248.71,254.32,42015,45.26
2025-06-10,255.9,258.6,251.02,253.28,32763,46.68
2025-06-11,252.0,264.0,252.0,260.02,54671,44.94
2025-06-12,262.65,263.41,252.0,252.8,21098,62.54
2025-06-13,250.01,251.96,245.81,250.31,16416,49.62
2025-06-16,250.99,253.69,245.0,248.95,23858,38.08
2025-06-17,250.2,256.12,243.21,244.5,22062,49.76
2025-06-18,244.5,247.89,237.9,240.1,15706,55.51
2025-06-19,239.0,243.0,236.09,238.73,21244,50.71
2025-06-20,239.9,242.89,237.06,241.68,9417,60.18
2025-06-23,239.0,241.8,237.39,240.97,9979,46.47
2025-06-24,243.1,245.99,242.0,243.66,11230,39.03
2025-06-25,244.9,249.41,244.3,248.58,15401,58.01
2025-06-26,249.2,251.9,245.1,247.31,21384,53.91
2025-06-27,249.15,251.01,247.4,248.81,10962,46.11
2025-06-30,249.75,252.5,247.8,249.83,13788,52.84
2025-07-01,248.15,252.7,247.01,248.0,13146,51.89
2025-07-02,248.0,249.58,243.37,244.25,15716,40.55
2025-07-03,246.4,247.75,243.24,244.82,12409,42.71
2025-07-04,243.0,246.33,243.0,244.65,13073,68.0
2025-07-07,243.7,258.09,241.5,255.85,70163,46.59
2025-07-08,254.8,257.69,252.6,254.48,16518,62.67
2025-07-09,254.65,259.0,251.0,251.99,33792,54.93
2025-07-10,251.47,256.61,250.0,251.55,23338,54.89
2025-07-11,247.05,252.86,246.6,248.32,20033,59.35
2025-07-14,248.15,249.81,243.5,245.23,15867,32.24
2025-07-15,245.0,248.5,243.07,243.76,13746,71.41
2025-07-16,244.2,249.39,239.11,245.16,32016,32.65
2025-07-17,245.03,249.59,244.0,246.7,11965,52.79
2025-07-18,247.2,247.95,242.41,245.06,14009,66.93
2025-07-21,247.0,248.3,243.01,247.18,14887,52.5
2025-07-22,247.65,248.25,243.1,244.05,10914,63.95
2025-07-23,243.05,245.48,240.62,243.11,14517,49.56
2025-07-24,245.29,245.29,241.0,241.62,8847,59.07
2025-07-25,240.0,242.99,236.0,238.09,21175,64.26
2025-07-28,237.88,240.2,230.17,232.14,9617,57.79
2025-07-29,226.95,237.0,226.95,234.94,7646,45.06
2025-07-30,234.94,237.42,232.08,233.98,12351,58.12
2025-07-31,233.98,234.36,230.0,233.26,14962,52.18
2025-08-01,233.0,235.4,228.7,230.4,13787,49.09
2025-08-04,228.4,231.13,226.63,229.01,17996,60.02
2025-08-05,231.0,233.45,227.15,228.53,12435,37.4
2025-08-06,229.42,231.0,225.99,227.96,15992,57.78
2025-08-07,227.96,229.8,225.17,227.11,33239,81.86
2025-08-08,231.0,245.0,231.0,234.7,117871,25.87
2025-08-11,237.0,237.19,229.1,230.45,15414,58.94
2025-08-12,230.45,232.52,228.01,230.99,35527,45.69
2025-08-13,230.98,238.39,229.24,235.79,29408,56.68
2025-08-14,233.29,237.79,227.6,230.16,17176,66.94
2025-08-18,230.5,236.6,229.21,232.22,24760,54.42
2025-08-19,232.65,232.65,226.0,231.3,27063,62.69
2025-08-20,233.4,234.49,230.26,231.25,14693,66.81
2025-08-21,231.25,237.45,230.55,233.89,28897,62.19
2025-08-22,231.5,236.34,230.0,231.72,14586,59.04
2025-08-25,231.59,234.39,230.04,232.23,8744,55.95
2025-08-26,230.6,231.67,225.6,227.54,9381,80.42
2025-08-28,225.55,227.01,223.5,224.0,18729,78.35
2025-08-29,222.0,224.55,219.01,221.45,14083,64.55
2025-09-01,221.0,223.8,217.25,218.57,14843,58.38
2025-09-02,218.57,226.58,216.99,221.44,21416,58.98
2025-09-03,221.09,226.16,218.31,223.43,22529,51.48
2025-09-04,224.8,227.48,222.0,222.49,18392,58.77
2025-09-05,224.2,224.2,220.62,223.07,14030,72.26
2025-09-08,223.0,225.0,221.19,223.3,8266,73.42
2025-09-09,224.8,225.57,221.41,221.95,9793,59.81
2025-09-10,221.55,225.0,221.55,223.4,11433,75.61
2025-09-11,224.5,225.0,220.91,221.57,31210,67.56
2025-09-12,223.4,223.47,220.0,220.36,30172,90.05
2025-09-15,221.0,233.49,219.99,227.8,35285,63.35
2025-09-16,228.0,233.1,221.41,221.96,41750,78.08
2025-09-17,223.98,225.09,219.25,221.19,46174,69.96
2025-09-18,223.08,226.99,220.8,222.14,57535,71.11
2025-09-19,222.63,233.0,222.6,228.81,56996,64.91
2025-09-22,228.81,231.3,226.91,227.23,11305,68.2
2025-09-23,229.3,230.0,227.0,228.3,7590,57.79
2025-09-24,227.5,230.19,227.0,227.47,7465,62.4
2025-09-25,225.2,227.28,219.1,220.75,16525,80.07
2025-09-26,220.4,223.0,218.5,219.93,40193,84.42
2025-09-29,218.0,221.45,216.01,219.26,8973,63.33
2025-09-30,221.1,225.0,212.21,214.7,19298,59.5
2025-10-01,215.0,225.2,213.71,219.15,45929,62.4
2025-10-03,218.0,223.68,218.0,220.49,12730,69.86
2025-10-06,220.99,224.84,220.2,222.35,13193,63.44
2025-10-07,223.09,225.0,220.0,221.63,16891,66.82
2025-10-08,220.05,221.82,219.0,219.74,11622,78.45
2025-10-09,220.55,221.6,218.71,218.9,8193,76.85
2025-10-10,219.41,222.2,218.5,219.53,22595,60.23
2025-10-13,219.14,220.19,217.25,217.92,11743,46.16
2025-10-14,219.29,219.29,213.0,213.73,11104,73.09
2025-10-15,214.31,216.26,206.8,211.49,56293,80.1
2025-10-16,210.15,214.99,209.51,211.17,39840,59.07
2025-10-17,213.1,214.78,210.01,211.91,22722,63.78
2025-10-20,213.7,221.28,211.31,217.43,24618,55.41
2025-10-21,216.35,218.86,213.61,217.85,8127,72.01
2025-10-22,216.35,218.86,213.61,217.85,8127,72.01
2025-10-23,221.0,223.99,215.42,217.17,28854,72.9
2025-10-24,220.4,223.17,215.0,219.34,22509,65.69
2025-10-27,216.0,219.12,215.2,216.49,13402,65.12
2025-10-28,215.1,219.0,209.91,217.21,15155,58.71
2025-10-29,219.19,220.8,215.0,219.49,14587,57.61
2025-10-30,221.4,222.69,216.69,218.72,19569,58.33
2025-10-31,218.0,219.32,216.5,217.2,6806,63.12
2025-11-03,217.1,224.78,217.0,221.58,16275,62.39
2025-11-04,221.0,221.41,216.82,217.77,9704,78.16
2025-11-05,221.0,221.41,216.82,217.77,9704,78.16
2025-11-06,218.16,218.87,212.51,214.16,8702,60.17
2025-11-07,215.88,216.03,210.2,212.76,17534,69.26
2025-11-10,214.8,214.8,205.0,208.09,41083,65.35
2025-11-11,208.21,208.21,202.17,205.74,15700,67.47
2025-11-12,205.74,209.9,198.81,201.47,39635,61.58
2025-11-13,203.2,208.66,201.48,206.53,18454,69.49
