DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,903.0,910.0,875.5,886.0,114001,53.19
2025-04-15,910.0,957.8,903.75,938.7,244458,53.71
2025-04-16,940.95,1055.0,940.95,1026.45,833520,45.57
2025-04-17,1096.55,1170.0,1082.0,1107.2,2969356,21.92
2025-04-21,1140.0,1140.0,1072.0,1093.7,562002,32.4
2025-04-22,1098.0,1122.0,1073.25,1106.7,417029,36.09
2025-04-23,1124.0,1164.3,1084.65,1134.5,884420,32.09
2025-04-24,1132.0,1146.65,1090.0,1094.7,323517,54.53
2025-04-25,1090.0,1093.1,1005.0,1026.5,403948,40.87
2025-04-28,1019.0,1053.25,1002.85,1007.4,262960,39.14
2025-04-29,1009.0,1034.9,995.0,1001.85,212699,43.6
2025-04-30,1001.85,1004.3,951.0,959.75,262144,52.24
2025-05-02,960.0,981.3,955.05,964.95,154747,37.55
2025-05-05,980.0,1008.8,965.0,991.9,330133,31.21
2025-05-06,1000.0,1000.0,929.9,946.75,181176,51.02
2025-05-07,905.05,954.7,905.05,942.65,265973,35.91
2025-05-08,965.0,975.0,925.2,934.45,188810,37.55
2025-05-09,896.0,915.8,892.35,902.1,321386,40.6
2025-05-12,981.95,985.0,953.45,979.55,257236,40.11
2025-05-13,982.95,995.4,961.55,978.45,181764,38.53
2025-05-14,990.85,1020.0,984.1,1009.1,299956,37.21
2025-05-15,1020.0,1021.75,1000.2,1012.9,143146,42.01
2025-05-16,1018.0,1048.7,1018.0,1028.4,367325,35.45
2025-05-19,1043.0,1070.6,1019.0,1044.7,519130,38.96
2025-05-20,1046.0,1057.5,1016.35,1021.0,287748,41.87
2025-05-21,1024.0,1031.2,1000.4,1010.8,202332,36.39
2025-05-22,1005.0,1032.8,1003.4,1016.8,122391,39.59
2025-05-23,1016.0,1021.0,985.1,1005.05,264737,37.77
2025-05-26,1005.05,1035.0,1004.35,1015.1,203112,40.43
2025-05-27,1024.0,1025.0,1003.5,1016.05,129740,52.36
2025-05-28,1018.0,1042.75,1015.1,1027.3,188197,54.17
2025-05-29,1030.0,1059.8,1028.95,1040.2,267834,44.33
2025-05-30,1050.0,1068.0,1024.0,1055.3,371644,42.14
2025-06-02,1055.3,1055.3,1018.0,1024.2,208412,54.52
2025-06-03,1025.0,1067.7,1022.1,1031.9,350239,30.35
2025-06-04,1040.0,1099.0,1039.2,1091.8,809256,43.78
2025-06-05,1095.0,1102.0,1050.1,1054.8,330343,56.98
2025-06-06,1060.0,1067.5,1027.8,1031.0,282533,50.62
2025-06-09,1031.0,1045.0,1031.0,1033.2,193465,51.07
2025-06-10,1040.0,1043.9,1025.5,1029.5,200970,46.78
2025-06-11,1030.9,1044.0,1007.2,1022.4,196115,43.17
2025-06-12,1022.1,1031.9,999.1,1006.3,190522,53.0
2025-06-13,980.0,1005.2,975.4,994.1,187879,35.14
2025-06-16,994.1,1000.9,963.0,993.9,192929,40.74
2025-06-17,994.9,1005.0,982.6,985.5,109453,44.72
2025-06-18,984.1,991.0,966.4,970.5,231321,25.31
2025-06-19,967.9,981.3,940.0,943.2,162034,43.54
2025-06-20,940.0,988.9,940.0,985.9,211243,39.87
2025-06-23,979.5,999.8,972.1,988.0,286977,28.22
2025-06-24,1020.0,1025.0,983.0,990.0,245392,37.69
2025-06-25,998.8,1018.3,996.8,1000.9,156018,36.47
2025-06-26,999.1,1005.3,986.2,991.2,125408,47.51
2025-06-27,995.0,1005.0,979.8,985.4,186728,52.37
2025-06-30,990.0,1019.0,988.9,1001.4,401378,53.39
2025-07-01,1006.9,1014.9,992.0,999.0,150544,57.14
2025-07-02,997.0,1003.9,981.7,988.3,121681,50.51
2025-07-03,999.0,1005.4,985.3,989.5,139249,34.36
2025-07-04,996.0,999.9,982.0,994.9,113044,46.99
2025-07-07,991.0,996.2,983.2,988.2,91202,54.38
2025-07-08,989.0,994.2,975.0,978.5,122410,45.32
2025-07-09,983.2,1002.3,980.1,985.8,146940,35.79
2025-07-10,985.0,998.5,980.8,995.2,167971,51.57
2025-07-11,985.6,999.9,975.8,984.7,147327,40.16
2025-07-14,986.4,990.1,971.2,976.0,121097,55.16
2025-07-15,985.0,1165.0,985.0,1146.7,9769176,15.65
2025-07-16,1133.0,1267.9,1121.0,1202.5,12091621,10.54
2025-07-17,1227.0,1272.0,1167.7,1184.3,7893688,13.54
2025-07-18,1202.0,1240.0,1181.1,1186.1,3861434,14.63
2025-07-21,1187.9,1193.6,1103.2,1111.4,1493248,26.1
2025-07-22,1112.7,1146.0,1080.0,1100.6,1014542,19.4
2025-07-23,1111.9,1132.1,1076.7,1120.0,1056293,15.96
2025-07-24,1128.5,1128.5,1086.1,1092.9,479302,27.35
2025-07-25,1095.0,1098.0,1050.0,1054.1,431240,37.24
2025-07-28,1059.1,1080.0,1033.3,1041.7,485954,30.35
2025-07-29,1058.0,1097.0,1040.8,1085.0,554595,28.21
2025-07-30,1094.2,1097.0,1054.1,1061.5,332451,33.16
2025-07-31,1031.0,1070.1,1025.7,1046.1,371762,31.86
2025-08-01,1051.2,1061.7,1035.9,1044.3,231304,27.75
2025-08-04,1046.4,1053.5,1031.0,1035.0,201387,39.9
2025-08-05,1037.0,1051.7,1023.0,1027.4,187002,30.43
2025-08-06,1028.0,1046.7,1009.5,1034.0,354710,29.81
2025-08-07,1020.1,1034.1,1006.0,1026.9,227841,36.34
2025-08-08,1033.0,1039.2,992.0,998.6,205305,43.75
2025-08-11,1003.8,1011.6,987.4,1005.7,202296,35.86
2025-08-12,1012.8,1016.0,993.0,1003.1,153456,38.08
2025-08-13,1008.0,1014.9,996.3,1004.3,190057,42.78
2025-08-14,999.0,1011.5,992.0,997.1,153463,44.1
2025-08-18,1018.0,1024.9,1001.6,1010.9,150579,34.81
2025-08-19,1011.0,1039.0,1007.4,1032.1,288676,41.26
2025-08-20,1034.0,1035.0,1015.8,1025.8,127893,32.45
2025-08-21,1027.9,1053.0,1019.5,1026.6,191126,33.17
2025-08-22,1028.7,1075.0,1026.4,1065.9,490070,35.85
2025-08-25,1080.0,1082.7,1040.1,1044.6,182194,41.55
2025-08-26,1042.4,1044.0,1020.0,1024.6,188422,54.76
2025-08-28,1020.0,1051.0,1018.6,1037.5,257940,28.56
2025-08-29,1033.0,1039.1,1020.0,1023.6,126586,32.11
2025-09-01,1025.1,1044.3,1025.1,1038.6,182062,36.61
2025-09-02,1042.8,1045.0,1016.6,1020.3,178641,44.05
2025-09-03,1027.9,1036.2,1021.1,1026.5,120886,44.51
2025-09-04,1031.6,1040.0,1011.1,1016.0,127325,44.25
2025-09-05,1024.0,1026.9,1005.5,1016.2,125841,37.51
2025-09-08,1010.1,1027.3,1010.1,1012.8,132956,40.35
2025-09-09,1019.0,1062.8,1009.0,1039.1,482795,21.76
2025-09-10,1053.0,1061.5,1043.5,1055.0,264435,37.15
2025-09-11,1063.0,1158.7,1051.6,1123.2,2928737,17.12
2025-09-12,1127.1,1146.8,1075.0,1097.5,977821,24.72
2025-09-15,1102.9,1108.5,1085.0,1092.5,277555,33.6
