DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,73.5,73.5,71.86,72.96,127668,34.17
2025-04-15,73.7,76.12,73.6,75.7,151861,52.64
2025-04-16,75.5,78.0,75.31,77.72,189965,44.35
2025-04-17,77.2,78.93,77.1,77.61,207974,43.67
2025-04-21,78.47,79.99,77.1,79.62,172189,44.46
2025-04-22,80.8,81.23,79.5,80.38,193321,48.86
2025-04-23,81.58,83.04,77.96,79.96,394861,32.21
2025-04-24,80.5,83.43,79.49,82.44,294518,45.23
2025-04-25,82.5,83.09,78.0,78.78,251174,48.77
2025-04-28,79.0,79.09,77.05,77.54,96477,39.21
2025-04-29,77.55,79.81,77.5,77.92,110009,42.65
2025-04-30,77.36,78.38,75.8,76.12,147028,43.16
2025-05-02,75.6,78.0,75.6,76.89,103202,40.84
2025-05-05,76.1,77.9,76.1,77.47,82573,42.06
2025-05-06,77.05,78.48,73.96,74.77,133946,50.29
2025-05-07,73.65,76.98,72.61,75.22,205729,24.87
2025-05-08,75.24,77.4,74.1,74.69,115516,44.08
2025-05-09,73.55,76.0,72.25,75.4,113008,34.75
2025-05-12,77.25,79.99,76.8,78.99,156190,55.52
2025-05-13,79.9,81.8,79.55,81.16,158670,43.16
2025-05-14,81.18,83.16,81.18,82.33,142821,48.39
2025-05-15,82.5,84.28,81.0,82.33,705265,58.65
2025-05-16,83.55,85.5,83.0,84.11,394942,60.14
2025-05-19,81.5,85.42,81.22,84.49,443989,42.78
2025-05-20,84.5,88.0,83.6,86.84,558478,46.22
2025-05-21,92.0,101.7,90.56,94.69,4536816,15.39
2025-05-22,94.69,94.99,92.5,94.13,524084,36.53
2025-05-23,94.01,94.12,92.55,93.52,253017,46.76
2025-05-26,93.8,95.0,92.35,94.74,256597,43.09
2025-05-27,94.5,95.4,93.2,95.13,209339,41.44
2025-05-28,95.13,102.0,94.61,98.65,1520542,22.76
2025-05-29,98.0,104.19,97.06,101.06,1637155,28.3
2025-05-30,101.87,106.0,100.16,103.51,1506346,23.96
2025-06-02,103.51,111.69,103.16,107.89,2921401,22.57
2025-06-03,108.5,113.8,108.11,111.05,2734972,17.95
2025-06-04,111.59,115.5,110.32,111.44,1307986,20.96
2025-06-05,111.7,113.74,106.41,107.13,640689,42.12
2025-06-06,107.15,112.0,106.71,108.63,757852,21.74
2025-06-09,110.0,113.9,108.92,111.54,990134,25.24
2025-06-10,112.1,112.6,109.7,110.42,261700,48.95
2025-06-11,109.55,110.79,106.86,108.11,425190,45.67
2025-06-12,108.25,108.69,106.3,106.99,260124,43.97
2025-06-13,103.25,105.95,102.87,105.42,302298,33.08
2025-06-16,105.0,107.0,104.1,106.13,260196,32.23
2025-06-17,106.13,106.83,104.11,106.06,278985,40.74
2025-06-18,106.06,113.39,104.72,110.85,669190,32.84
2025-06-19,111.57,113.5,106.23,107.25,620303,40.11
2025-06-20,106.2,108.5,104.82,108.18,442926,28.22
2025-06-23,106.55,113.0,106.55,109.28,1239972,23.01
2025-06-24,110.8,113.5,109.6,110.18,698671,34.35
2025-06-25,110.99,114.39,110.22,110.65,692652,33.49
2025-06-26,122.97,123.0,113.47,114.43,7091878,15.36
2025-06-27,118.99,124.0,117.1,121.46,6501071,19.5
2025-06-30,120.95,123.69,119.5,122.05,1534584,18.79
2025-07-01,122.39,123.27,116.2,117.08,1029447,37.89
2025-07-02,117.62,118.6,112.5,113.39,1012214,28.9
2025-07-03,113.55,115.06,112.26,112.93,1199685,15.65
2025-07-04,113.09,114.23,110.97,111.73,374380,34.51
2025-07-07,112.05,114.2,110.25,113.04,339158,36.3
2025-07-08,113.3,118.9,113.3,116.44,1584218,16.07
2025-07-09,119.3,119.3,115.74,116.22,553429,35.4
2025-07-10,115.31,118.95,115.31,118.54,688136,37.82
2025-07-11,119.0,120.5,117.51,118.82,609228,38.48
2025-07-14,118.84,118.9,115.53,116.58,374400,38.06
2025-07-15,117.58,117.9,115.4,116.29,183842,49.2
2025-07-16,116.29,116.9,115.45,115.65,201479,52.97
2025-07-17,116.18,116.76,113.39,113.99,226165,45.42
2025-07-18,112.4,114.5,112.17,112.73,194963,39.92
2025-07-21,112.99,114.8,112.65,114.06,229023,42.16
2025-07-22,114.06,115.3,113.65,114.51,243180,54.16
2025-07-23,114.9,115.63,113.5,114.41,209206,49.01
2025-07-24,114.98,114.98,111.87,112.65,198196,49.43
2025-07-25,112.45,112.59,109.0,109.28,303403,59.02
2025-07-28,110.35,111.08,106.96,107.65,249930,49.61
2025-07-29,107.65,109.0,106.16,108.14,160250,47.0
2025-07-30,108.14,110.0,107.45,108.29,383878,72.16
2025-07-31,106.46,109.8,106.05,106.47,157094,32.59
2025-08-01,106.47,107.15,105.0,105.41,114129,35.43
2025-08-04,105.45,106.49,103.9,104.73,116950,35.94
