DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-08-18,505.8,507.0,495.3,507.0,5,80.0
2026-08-20,494.1,589.9,477.0,490.2,409,84.11
2026-08-21,502.0,539.85,502.0,534.5,148,100.0
2026-08-24,486.05,533.6,486.05,533.6,29,65.52
2026-08-25,550.0,550.0,502.0,529.95,115,98.26
2026-08-26,500.0,500.05,497.55,497.8,176,100.0
2026-08-27,499.8,524.9,481.05,492.2,236,56.78
2026-08-31,492.2,492.2,489.75,491.05,29,82.76
2026-09-01,497.0,497.0,497.0,497.0,15,100.0
2026-09-02,497.0,497.0,497.0,497.0,2,100.0
2026-09-03,488.85,497.85,488.85,497.85,31,100.0
2026-09-04,500.3,500.3,480.0,482.2,248,95.56
2026-09-07,493.0,497.0,493.0,495.5,12,100.0
2026-09-08,484.3,493.0,480.0,481.5,96,98.96
2026-09-09,484.2,484.2,484.0,484.0,9,100.0
2026-09-10,484.0,488.0,480.0,480.5,14,71.43
2026-09-15,481.3,481.3,477.0,477.0,19,94.74
2026-09-16,485.0,485.0,485.0,485.0,2,100.0
2026-09-17,480.15,487.0,480.15,487.0,11,100.0
