DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-08-13,154.0,157.0,146.15,150.4,752781,49.74
2026-08-14,148.5,176.78,148.5,172.5,2182519,24.51
2026-08-17,174.8,175.9,155.5,158.7,1049878,42.15
2026-08-18,159.95,172.5,155.41,168.97,867676,32.66
2026-08-19,173.3,174.3,161.08,169.11,782615,35.56
2026-08-20,161.0,166.54,155.61,160.18,961012,34.42
2026-08-21,157.1,175.0,157.1,167.03,881187,33.06
2026-08-24,169.4,171.64,163.1,167.69,401119,44.75
2026-08-25,171.1,171.2,162.43,163.09,385611,53.2
2026-08-26,163.09,164.65,158.06,159.83,280887,48.31
