DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,106.0,106.0,103.46,103.85,7450888,30.16
2025-04-15,105.0,108.74,104.49,107.95,9064491,33.25
2025-04-16,108.14,114.39,107.38,112.62,24822782,30.39
2025-04-17,112.65,114.85,112.0,114.29,14946889,31.99
2025-04-21,114.95,119.8,113.34,118.75,19011210,37.05
2025-04-22,119.25,119.85,115.01,115.53,12658688,38.84
2025-04-23,116.2,116.77,111.82,114.59,12122418,33.49
2025-04-24,114.0,116.19,113.5,113.95,7331138,34.67
2025-04-25,114.0,114.3,106.57,108.23,13925734,34.32
2025-04-28,107.6,110.78,107.39,109.55,8458140,31.16
2025-04-29,109.85,111.14,105.91,106.22,8234001,42.42
2025-04-30,106.7,109.3,104.87,106.35,9536409,31.75
2025-05-02,107.0,107.7,105.45,106.18,6355045,35.44
2025-05-05,106.9,109.6,106.15,108.69,6240209,32.43
2025-05-06,108.69,108.94,105.31,106.12,8108413,44.19
2025-05-07,104.5,109.9,104.5,109.62,8938619,32.13
2025-05-08,109.59,115.9,108.8,111.16,23759671,31.19
2025-05-09,109.75,116.4,109.0,115.8,30390201,30.73
2025-05-12,118.25,120.0,116.6,117.14,16333436,46.27
2025-05-13,117.59,123.61,115.92,123.15,22647523,39.07
2025-05-14,125.5,125.69,123.2,123.91,16535450,43.0
2025-05-15,124.2,128.4,123.85,126.93,18031199,43.76
2025-05-16,127.45,129.99,125.88,129.67,10505732,45.12
2025-05-19,130.0,131.7,127.21,128.53,12184781,50.51
2025-05-20,128.99,129.7,122.43,122.91,16011404,50.0
2025-05-21,123.86,125.35,122.53,124.05,7143410,35.48
2025-05-22,124.05,127.65,124.05,127.29,9779862,41.44
2025-05-23,127.29,129.3,126.0,128.1,7624052,49.05
2025-05-26,128.1,128.69,126.42,127.56,5515941,43.68
2025-05-27,127.56,129.5,126.3,126.72,5932949,48.69
2025-05-28,127.24,128.74,126.26,128.36,4769860,43.03
