DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,203.0,209.5,203.0,205.48,296131,37.07
2025-04-15,207.54,225.0,207.41,220.2,639712,42.55
2025-04-16,221.0,234.9,219.02,225.24,1050509,38.67
2025-04-17,226.9,237.0,224.48,232.23,526280,41.04
2025-04-21,233.9,239.39,230.0,232.25,438589,39.7
2025-04-22,233.98,236.85,229.25,235.79,383426,49.94
2025-04-23,237.4,237.75,226.21,229.01,232960,46.32
2025-04-24,229.01,241.0,227.0,234.79,493244,45.07
2025-04-25,236.0,236.55,217.98,218.56,613614,46.24
2025-04-28,220.96,226.8,215.1,222.47,298737,42.42
2025-04-29,223.05,228.9,217.62,223.1,217367,51.67
2025-04-30,220.5,223.68,217.2,218.29,139946,55.67
2025-05-02,219.1,223.06,215.02,217.61,151751,47.77
2025-05-05,220.1,234.0,214.29,231.94,398540,43.29
2025-05-06,232.0,233.03,216.26,218.18,232415,47.49
2025-05-07,215.0,220.54,215.0,219.23,190693,41.92
2025-05-08,222.0,229.0,215.0,216.93,293235,40.64
2025-05-09,210.3,214.01,205.5,207.64,364570,54.4
2025-05-12,219.0,225.7,216.56,222.59,255277,49.36
2025-05-13,224.79,226.19,219.94,225.37,191772,55.34
2025-05-14,225.37,226.8,221.06,222.02,289436,54.43
2025-05-15,218.07,219.99,208.43,209.3,944213,46.78
2025-05-16,210.95,213.25,208.52,210.7,263493,49.93
2025-05-19,210.0,218.8,209.3,216.61,530179,54.43
2025-05-20,218.45,219.5,211.1,212.78,206177,39.89
2025-05-21,214.16,215.75,211.1,214.56,236421,52.61
2025-05-22,215.5,217.99,210.0,211.57,227219,48.14
2025-05-23,212.6,212.99,209.32,212.29,162147,43.89
2025-05-26,214.0,216.5,213.11,214.97,138911,53.14
2025-05-27,216.0,216.6,212.1,213.47,215526,45.08
2025-05-28,212.0,218.0,210.5,215.7,458381,37.84
2025-05-29,216.75,218.25,213.2,213.93,216339,53.03
2025-05-30,214.0,215.15,207.2,209.03,301781,60.13
2025-06-02,211.38,216.5,208.05,214.86,262130,51.31
2025-06-03,214.86,226.99,214.67,219.78,720346,42.45
2025-06-04,218.25,226.99,216.01,221.68,466139,29.74
2025-06-05,221.62,229.8,216.8,217.71,387039,40.9
2025-06-06,217.7,219.6,215.51,216.94,139430,49.5
2025-06-09,218.0,223.62,218.0,222.44,277019,51.31
2025-06-10,223.55,224.2,219.14,220.15,95189,50.22
2025-06-11,221.25,226.99,217.01,225.26,694285,34.76
2025-06-12,226.85,229.82,219.13,221.31,351794,47.42
2025-06-13,218.0,219.99,214.06,216.94,185340,37.45
2025-06-16,216.94,218.77,210.0,215.16,198861,33.9
2025-06-17,216.23,218.48,210.05,210.63,170701,50.71
2025-06-18,210.52,212.6,208.5,209.22,166950,47.71
2025-06-19,209.2,210.93,201.34,201.92,233189,59.32
2025-06-20,201.55,205.65,199.5,203.56,135304,43.89
2025-06-23,201.7,205.42,200.1,204.88,135207,54.25
2025-06-24,206.05,209.99,205.8,206.16,127921,41.73
2025-06-25,206.99,214.35,206.99,213.31,201860,55.33
2025-06-26,214.15,215.5,210.0,211.03,145691,58.39
2025-06-27,212.9,213.42,210.1,211.25,127490,41.25
