DATE,CLOSE,OPEN,HIGH,LOW
2026-07-06,27276.45,,,
2026-07-07,27939.15,,,
2026-07-08,27555.2,,,
2026-07-09,27471.25,,,
2026-07-10,28010.35,,,
2026-07-13,29015.85,,,
2026-07-14,28724.75,,,
2026-07-15,28532.25,,,
2026-07-16,28722.6,,,
2026-07-17,29226.6,29082.05,29380.75,28935.95
2026-07-20,29161.85,29324.45,29483.15,29113.75
2026-07-21,28984.4,29075.25,29415.25,28930.55
2026-07-22,28549.85,28881.95,28913.35,28502.95
2026-07-23,28533.55,28502.9,28688.95,28277.75
2026-07-24,28767.95,28204.85,28812.3,28141.0
2026-07-27,29441.9,29181.7,29537.5,29070.25
2026-07-28,30418.35,29825.4,30664.1,29820.05
2026-07-29,31123.1,31106.6,31352.8,30770.55
2026-07-30,31194.55,31207.55,31846.4,31131.35
2026-07-31,30708.9,30488.4,30900.25,30034.4
2026-08-03,31715.25,30950.95,31715.25,30796.55
2026-08-04,31454.15,31616.1,31676.65,31245.05
2026-08-05,31404.05,31578.0,31603.3,31237.1
